id,name,translatedTooltip,translatedHumanName
514,lootboxnano_t3_var6,Portable Factory. Capture & Transport,Gold Unit Printer
515,lootboxnano_t3_var7,Portable Factory. Capture & Transport,Gold Unit Printer
516,lootboxnano_t3_var8,Portable Factory. Capture & Transport,Gold Unit Printer
517,lootboxnano_t3_var9,Portable Factory. Capture & Transport,Gold Unit Printer
518,lootboxnano_t4_var1,Portable Factory. Capture & Transport,Platinum Unit Printer
519,lootboxnano_t4_var2,Portable Factory. Capture & Transport,Platinum Unit Printer
520,lootboxnano_t4_var3,Portable Factory. Capture & Transport,Platinum Unit Printer
521,lootboxnano_t4_var4,Portable Factory. Capture & Transport,Platinum Unit Printer
522,lootboxnano_t4_var5,Portable Factory. Capture & Transport,Platinum Unit Printer
523,lootboxnano_t4_var6,Portable Factory. Capture & Transport,Platinum Unit Printer
524,lootboxnano_t4_var7,Portable Factory. Capture & Transport,Platinum Unit Printer
525,lootboxnano_t4_var8,Portable Factory. Capture & Transport,Platinum Unit Printer
526,lootboxnano_t4_var9,Portable Factory. Capture & Transport,Platinum Unit Printer
527,lootboxplatinum,Capture & Transport,Platinum Resource Generator
528,lootboxsilver,Capture & Transport,Silver Resource Generator
529,lootdroppod_gold,Drops LOOT in your battle,Lootbox Droppod
530,lootdroppod_printer,Drops PRINTER in your battle,Lootbox Droppod
531,meteor,Falls out of the sky and kills you,Meteor
532,mission_command_tower,Mission test unit,Command Tower
533,nuketest,Spawning a new nuke,New Nuke Spawner
534,nuketestcor,Spawning a new nuke,New Nuke Spawner
535,nuketestorg,Spawning original Arm new nuke,Original Arm Nuke Spawner
536,pbr_cube,Test PBR awesomeness,PBR Test Cube Thing
537,resourcecheat,INFINITE RESOURCES,INFINITE RESOURCES
538,xmasball1_1,Xmas ball,Xmas ball
539,xmasball1_2,Xmas ball,Xmas ball
540,xmasball1_3,Xmas ball,Xmas ball
541,xmasball1_4,Xmas ball,Xmas ball
542,xmasball1_5,Xmas ball,Xmas ball
543,xmasball1_6,Xmas ball,Xmas ball
544,xmasball2_1,Xmas ball,Xmas ball
545,xmasball2_2,Xmas ball,Xmas ball
546,xmasball2_3,Xmas ball,Xmas ball
547,xmasball2_4,Xmas ball,Xmas ball
548,xmasball2_5,Xmas ball,Xmas ball
549,xmasball2_6,Xmas ball,Xmas ball
